[2026-09-16 04:24:01] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:05] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:08] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:11] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:14] ALERT: Red Zone Breach! Intent: FAST APPROACH
[2026-09-16 04:24:18] ALERT: Red Zone Breach! Intent: RUNNING / SPRINTING (CRITICAL THREAT)
[2026-09-16 04:24:21] ALERT: Red Zone Breach! Intent: FAST APPROACH
[2026-09-16 04:24:24] ALERT: Red Zone Breach! Intent: RUNNING / SPRINTING (CRITICAL THREAT)
[2026-09-16 04:24:27] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:31] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:24:34] ALERT: Red Zone Breach! Intent: PATROLLING / NORMAL
[2026-09-16 04:28:31] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-17 15:07:11] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:07:14] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-17 15:07:18] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:07:21] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:07:24] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:07:28] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:07:31] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:07:34] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:07:37] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:07:40] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:07:44] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:07:47] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:08:08] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:08:11] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:08:14] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:12:42] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:12:45] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:12:49] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:12:52] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:12:56] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:41:10] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:41:13] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:41:16] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:41:20] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:41:24] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:41:27] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-17 15:41:30] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:41:41] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:15] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:20] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:23] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:29] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:33] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:38] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:41] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-17 15:42:53] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-17 15:42:56] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 12:29:20] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:29:23] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 12:29:26] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 12:29:31] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:29:34] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:41:56] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:42:01] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-18 12:42:04] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 12:42:08] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:42:11] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:42:16] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 12:42:20] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:01:56] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:01:59] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:02:02] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:02:06] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:02:09] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:02:12] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:02:16] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:02:19] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:02:22] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:02:25] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:02:28] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-18 13:33:44] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:33:49] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:33:53] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:34:03] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:34:33] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:34:37] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:34:41] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:34:44] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:34:48] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:34:51] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:34:54] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:34:57] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:35:01] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:04] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:35:08] ALERT: Red Zone Breach! Target #2 | Intent: CRAWLING (THREAT)
[2026-09-18 13:35:11] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:14] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:20] ALERT: Red Zone Breach! Target #3 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:27] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:30] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-18 13:35:35] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:38] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:42] ALERT: Red Zone Breach! Target #2 | Intent: CRAWLING (THREAT)
[2026-09-18 13:35:46] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:35:49] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:35:52] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-18 13:35:55] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:35:58] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-18 13:36:10] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:36:29] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:36:32] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:36:36] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:36:39] ALERT: Red Zone Breach! Target #2 | Intent: CRAWLING (THREAT)
[2026-09-18 13:36:48] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:36:55] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:37:02] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:37:08] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:37:11] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-18 13:37:14] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:37:18] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-18 13:37:23] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:16] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:19] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:25] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:40] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:43] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:46] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 15:26:49] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 15:26:52] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 15:26:55] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:01:16] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:01:19] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:01:22] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:01:25] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:01:29] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:02:06] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:02:09] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:02:12] ALERT: Red Zone Breach! Target #2 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:02:15] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:02:18] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:02:21] ALERT: Red Zone Breach! Target #2 | Intent: PATROLLING
[2026-09-21 16:02:25] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:02:28] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:02:31] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:02:34] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:02:38] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:04:33] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:04:36] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:04:40] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:04:43] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:04:46] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:04:49] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:04:52] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:04:56] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:04:59] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:05:02] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:05:05] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:05:09] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:05:12] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:05:15] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:05:19] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:05:22] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:05:25] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:05:28] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:05:31] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:05:34] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:05:38] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:05:43] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:05:46] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:07:58] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:08:01] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:08:04] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:12] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:08:15] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:19] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:22] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:25] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:08:30] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:08:33] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:36] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:40] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:08:43] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:08:46] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:08:53] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:08:58] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:02] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:09:05] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:09:08] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:09:11] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:14] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:17] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:21] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:24] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:28] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:09:31] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:34] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:09:38] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:42] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:46] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:09:49] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:09:52] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:09:55] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:09:59] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:10:02] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:10:05] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:10:08] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:10:12] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:10:15] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:10:19] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:10:22] ALERT: Red Zone Breach! Target #1 | Intent: FAST APPROACH
[2026-09-21 16:10:25] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:07] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:11] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:11:14] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:17] ALERT: Red Zone Breach! Target #1 | Intent: PATROLLING
[2026-09-21 16:11:20] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:25] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:28] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:11:31] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:11:34] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:11:37] ALERT: Red Zone Breach! Target #1 | Intent: CRAWLING (THREAT)
[2026-09-21 16:11:40] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
[2026-09-21 16:11:43] ALERT: Red Zone Breach! Target #1 | Intent: RUNNING (HIGH THREAT)
